Departamento,Distrito,SINDROME Y/O TRASTORNO PSICOTICO,TRASTORNO DE CONSUMO DE ALCOHOL,TRASTORNO DE CONSUMO DE DROGAS,TRASTORNO DE CONSUMO DE TABACO,TRASTORNO DEPRESIVO,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,SOLO TAMIZAJES POSITIVOS,TAMIZAJES C/CONDICION ADICIONAL VIOLENCIA POLITICA,TOTAL DE TAMIZAJES
AREQUIPA,PUNTA DE BOMBON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0
AREQUIPA,YANAQUIHUA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,771.0
AYACUCHO,ACOS VINCHOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1206.0
AYACUCHO,AUCARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603.0
AYACUCHO,BELEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0
AYACUCHO,CANAYRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1425.0
AYACUCHO,CARMEN SALCEDO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0
AYACUCHO,CHALCOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0
AYACUCHO,CHILCAYOC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0
AYACUCHO,CORCULLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0
AYACUCHO,CORONEL CASTA�EDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.0
AYACUCHO,HUAC-HUAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0
AYACUCHO,HUACA�A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0
AYACUCHO,LAMPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0
AYACUCHO,LARAMATE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0
AYACUCHO,LUIS CARRANZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,822.0
